source_file,platform,source_type,category,title,content,priority,allowed_for_answer,needs_backend_api,risk_note,original_key,original_group
data/raw/jd/京东话术.txt,JD,script_template,价格补偿,"未分组 baiy,1",亲亲百亿补贴商品是打折商品是无法加入购物车的呢，喜欢可以直接拍的呢亲亲,70,TRUE,FALSE,,"baiy,1",未分组
data/raw/jd/京东话术.txt,JD,script_template,价格补偿,"未分组 baiy,2",百亿补贴的链接不参与任何满减呢，因为本身就是最低活动价呢,70,TRUE,FALSE,,"baiy,2",未分组
data/raw/jd/京东话术.txt,JD,script_template,尺码问题,"尺码不合适 banxing,1",每个人的脚型和每双鞋的版型都不一样哦 不能保证每个人的尺码都合适的呢,80,TRUE,FALSE,,"banxing,1",尺码不合适
data/raw/jd/京东话术.txt,JD,script_template,尺码问题,"尺码不合适 banxing,2",我们这边只是提供我们这边试穿的信息呢 个人脚型不同的哦 仅供参考哦,80,TRUE,FALSE,,"banxing,2",尺码不合适
data/raw/jd/京东话术.txt,JD,script_template,尺码问题,"尺码不合适 banxing,3",尺码会因人而异的嗷，有的人脚瘦穿正常码的会觉得大了一点，有的人脚宽穿正常码的会觉得小了 我们一般都是按照大部分买家反馈的数据和厂家提供给的数据卖的，一般大部分都是合适的，但是不保证所有人都合适嗷~,80,TRUE,FALSE,,"banxing,3",尺码不合适
data/raw/jd/京东话术.txt,JD,policy_rule,尺码问题,"尺码不合适 banxing,4",这款是运动鞋尺码正码的呢，但是每个人脚型不同哦，这款大都客户反映是正码的呢，我们都是按自己试穿结果和大都客户建议的呢。具体的是需要您自己选择的呢。您觉得不合适我们也可以给您提供7天无理由退换的呢~,90,TRUE,TRUE,需要结合商品信息,"banxing,4",尺码不合适
data/raw/jd/京东话术.txt,JD,product_info,尺码问题,"尺码不合适 banxing,5",因为每个人脚掌情况不同的呢 有高有宽的 鞋子款式不同也会存在宽和高的情况 无法每个人契合度都完美的，鞋子一般都会越穿越宽松的，您可以调整下鞋带松紧试下看看会不会好一些呢,80,TRUE,FALSE,,"banxing,5",尺码不合适
data/raw/jd/京东话术.txt,JD,script_template,尺码问题,"尺码不合适 banxing,6","亲亲可以废报纸揉成一团,用水弄湿(轻微)再拿一张报纸包上,然后塞进鞋子挤脚的地方 一定要塞紧了哦 撑个几天后就不会了呢",80,TRUE,FALSE,,"banxing,6",尺码不合适
data/raw/jd/京东话术.txt,JD,shipping_rule,质量问题,"包装问题 baozhuang,1",这是政府提倡的环保包装，也是为了减少包装垃圾，我们发出去的时候都是包装完整的，有些破了，是因为快递员需要撕掉包装里面的那个面单，他们需要签收，但是鞋子都是完好的，如果鞋子有破损麻烦您赶紧拍照给我看一下哈，谢谢,90,TRUE,FALSE,,"baozhuang,1",包装问题
data/raw/jd/京东话术.txt,JD,backend_rule,换货,"包装问题 baozhuang,2",涉及补偿、返款、报销运费或差价处理时，需要人工客服结合订单、商品状态和平台规则核实协商，不承诺具体金额。,60,TRUE,TRUE,conservative_rewrite_from_risky_original:具体补偿金额,"baozhuang,2",包装问题
data/raw/jd/京东话术.txt,JD,script_template,价格补偿,"包装问题 bc,3",亲亲 小客服最多可以给您申请到 元补偿哈 超出的话需要小客服自己承担的呢 抱歉呢,70,FALSE,FALSE,需要人工处理,"bc,3",包装问题
data/raw/jd/京东话术.txt,JD,backend_rule,物流发货,"包装问题 bf,4",涉及补偿、返款、报销运费或差价处理时，需要人工客服结合订单、商品状态和平台规则核实协商，不承诺具体金额。,60,TRUE,TRUE,conservative_rewrite_from_risky_original:具体补偿金额,"bf,4",包装问题
data/raw/jd/京东话术.txt,JD,aftersales_rule,质量问题,"勃肯鞋泛白问题 bkx,1",亲亲 泛白不是质量问题，牛反绒的材质部位大部分都是这样子哈， 保证不了这么精准哦，这种的话属于正常现象哈,90,TRUE,FALSE,,"bkx,1",勃肯鞋泛白问题
data/raw/jd/京东话术.txt,JD,product_info,商品咨询,"勃肯鞋泛白问题 bkx,2","反绒材质鞋面清洗方式：反绒皮材质的鞋面，不宜水洗哦！
建议使用反绒皮/麂皮绒专用刷清理擦拭，既可去污，又可保护鞋面不受损伤哦~（8-10元一把刷子）",80,TRUE,FALSE,,"bkx,2",勃肯鞋泛白问题
